"5";"Exérèse du thymus vestigial, par thoracotomie"
"EQQF004";"Mesure et enregistrement des pressions du coeur droit, de l'artère pulmonaire et du coeur gauche, sans injection de produit de contraste, par voie veineuse transcutanée avec perforation du septum interatrial"
"EQQF006";"Mesure et enregistrement des pressions du coeur droit et de l'artère pulmonaire, sans injection de produit de contraste, par voie veineuse transcutanée"
"EQQH001";"Mesure et enregistrement des pressions du coeur droit et de l'artère pulmonaire, avec injection de produit de contraste, par voie veineuse transcutanée"
"EQQH002";"Mesure et enregistrement des pressions du coeur gauche et de l'aorte, avec injection de produit de contraste, par voie artérielle transcutanée"
"EQQH003";"Mesure et enregistrement des pressions du coeur droit, de l'artère pulmonaire et du coeur gauche, avec injection de produit de contraste, par voie veineuse transcutanée et par voie artérielle transcutanée ou cathétérisme du foramen ovale"
"EQQH004";"Mesure et enregistrement des pressions du coeur droit, de l'artère pulmonaire et du coeur gauche, avec injection de produit de contraste, par voie veineuse transcutanée avec perforation du septum interatrial"
"EQQJ001";"Surveillance hémodynamique continue par doppler par voie oesophagienne, par 24 heures"
"EQQM001";"Surveillance hémodynamique continue par échocardiographie transthoracique itérative, par 24 heures"
"EQQM004";"Mesure de la distance de marche sur tapis roulant ou par enregistrement électromagnétique, avec mesures de la pression systolique résiduelle de cheville et du temps de récupération [test de Strandness] par doppler continu transcutané ou pléthysmographie"
"EQQP004";"Surveillance continue d'une circulation extracorporelle pour assistance circulatoire, par 24 heures"
"EQQP005";"Capillaroscopie périunguéale"
"EQQP008";"Enregistrement discontinu de la pression intraartérielle par méthode non invasive pendant au moins 24 heures [MAPA] [Holter tensionnel]"
"EQQP009";"Mesure de la pulsatilité artérielle par débitmétrie électromagnétique ou par impédance [irrigraphie]"
"EQQP011";"Surveillance continue de la pression intraartérielle et/ou de la pression intraveineuse centrale par méthodes effractives, par 24 heures"
"EQQP012";"Surveillance continue des pressions du coeur droit avec mesure du débit cardiaque ou de la fraction d'éjection du ventricule droit, par 24 heures"
"EQRM001";"Épreuve d'effort sur tapis roulant, avec électrocardiographie discontinue, examen doppler continu des artères des membres inférieurs et mesure de l'index de pression systolique"
"EQRP002";"Épreuve d'effort sur tapis roulant ou bicyclette ergométrique, avec électrocardiographie discontinue et mesure du débit d'oxygène consommé [VO2]"
"EZBA003";"Réduction du débit d'un accès vasculaire artérioveineux par ligature ou réduction de calibre de l'artère"
"EZCA003";"Pontage artérioveineux pour accès vasculaire, par abord direct"
"EZFA002";"Exérèse d'un accès vasculaire artérioveineux sans reconstruction vasculaire"
"EZLA002";"Pose d'un cathéter veineux central tunnelisé à double courant pour circulation extracorporelle, par abord direct"
"EZLF001";"Pose d'un cathéter veineux central tunnelisé pour circulation extracorporelle, par voie transcutanée"
"EZLF002";"Pose de deux cathéters veineux centraux tunnelisés dans une seule veine pour circulation extracorporelle, par voie transcutanée"
"EZLF003";"Pose d'un cathéter veineux central non tunnelisé pour circulation extracorporelle, par voie transcutanée"
"EZMA001";"Création d'une fistule artérioveineuse pour accès vasculaire par abord direct sans superficialisation veineuse, chez un sujet de 20 kg ou plus"
"EZMH001";"Contrôle radiologique secondaire de perméabilité et/ou de position d'un dispositif d'accès vasculaire ou d'une endoprothèse vasculaire, par injection de produit de contraste"
"EZQH004";"Angiographie peropératoire"
"EZQL001";"Phlébographie radio-isotopique des membres"
"EZQM001";"Échographie-doppler d'une fistule artérioveineuse pour circulation extracorporelle"
"EZSA001";"Fermeture d'un accès vasculaire artérioveineux, par abord direct"
"EZSA003";"Fermeture d'un faux anévrisme d'un accès vasculaire artérioveineux avec reconstruction des axes vasculaires, par abord direct"
"EZSA004";"Hémostase secondaire à une intervention sur les vaisseaux des membres, par abord direct"
"FAFA002";"Adénoïdectomie avec pose bilatérale d'aérateur transtympanique"
"FAFA003";"Amygdalectomie à l'amygdalotome, avec adénoïdectomie et myringotomie unilatérale ou bilatérale"
"FAFA004";"Amygdalectomie à l'amygdalotome, avec adénoïdectomie"
"FAFA008";"Adénoïdectomie"
"FAFA013";"Adénoïdectomie avec myringotomie unilatérale ou bilatérale"
"FAFA014";"Amygdalectomie par dissection"
"FAFA015";"Amygdalectomie par dissection, avec adénoïdectomie"
"FCFA002";"Curage lymphonodal [ganglionnaire] médiastinal supérieur, par cervicotomie"
"FCFA004";"Curage lymphonodal [ganglionnaire] médiastinal unilatéral ou bilatéral, par thoracotomie"
"FCFA005";"Curage lymphonodal [ganglionnaire] cervical complet et médiastinorécurrentiel unilatéral, par cervicotomie"
"FCFA006";"Curage lymphonodal [ganglionnaire] pelvien, par laparotomie"
"FCFA008";"Curage lymphonodal [ganglionnaire] cervical complet unilatéral, par cervicotomie"
"FCFA009";"Curage lymphonodal [ganglionnaire] cervical complet et médiastinorécurrentiel bilatéral, par cervicotomie"
"FCFA012";"Exérèse de noeud [ganglion] lymphatique du cou à visée diagnostique, par abord direct"
"FCFA013";"Curage lymphonodal [ganglionnaire] cervical complet bilatéral, par cervicotomie"
"FCFA016";"Curage lymphonodal [ganglionnaire] cervical partiel unilatéral, par cervicotomie"
"FCFA017";"Curage lymphonodal du hile du poumon et du médiastin au cours d'une intervention pleuropulmonaire"
"FCFA018";"Exérèse de noeud [ganglion] lymphatique des membres à visée thérapeutique, par abord direct"
"FCFA019";"Curage lymphonodal [ganglionnaire] iliaque unilatéral ou bilatéral, par laparotomie"
"FCFA020";"Curage lymphonodal [ganglionnaire] cervical partiel bilatéral, par cervicotomie"
"FCFA021";"Exérèse de noeud [ganglion] lymphatique des membres à visée diagnostique, par abord direct"
"FCFA022";"Curage lymphonodal [ganglionnaire] lomboaortique avec curage iliaque unilatéral ou bilatéral, par laparotomie"
"FCFA025";"Curage lymphonodal [ganglionnaire] cervical complet unilatéral avec curage partiel controlatéral, par cervicotomie"
"FCFA026";"Exérèse de lymphangiome cervicofacial sans dissection du nerf facial"
"FCFA027";"Curage lymphonodal [ganglionnaire] cervical complet unilatéral, élargi aux muscles profonds et/ou aux nerfs du cou, à l'artère carotide externe, à la glande parotide, par cervicotomie"
"FCFA028";"Exérèse de noeud [ganglion] lymphatique du cou à visée thérapeutique, par cervicotomie"
"FCFC003";"Curage lymphonodal [ganglionnaire] pelvien, par coelioscopie ou rétropéritonéoscopie"
"FCHB001";"Ponction ou cytoponction de noeud [ganglion] lymphatique, par voie transcutanée sans guidage"
"FCQH002";"Lymphographie des membres inférieurs"
"FDFB001";"Prélèvement de cellules souches hématopoïétiques médullaires [Prélèvement de moelle osseuse], pour thérapie cellulaire"
"FDHB001";"Ponction de moelle osseuse pour myélogramme dans un territoire, par voie transcutanée"
"FDHB002";"Biopsie ostéomédullaire, par voie transcutanée"
"FDHB003";"Ponction de moelle osseuse pour myélogramme et analyses biologiques dans plusieurs territoires sous anesthésie générale, par voie transcutanée"
"FDHB004";"Ponction de moelle osseuse pour myélogramme et analyses biologiques avec biopsie ostéomédullaire dans le même territoire, par voie transcutanée"
"FDHB005";"Ponction de moelle osseuse pour myélogramme dans plusieurs territoires sous anesthésie générale, par voie transcutanée"
"FDHB006";"Ponction de moelle osseuse pour myélogramme et analyses biologiques dans un territoire, par voie transcutanée"
"FEJF002";"Séance non programmée de soustraction thérapeutique de plasma avec perfusion de produit de substitution [échange plasmatique] pour affection aigüe"
"FEJF003";"Saignée thérapeutique"
"FELF001";"Transfusion de plus d'une demimasse sanguine, au cours d'une intervention sous anesthésie générale ou locorégionale"
"FELF002";"Transfusion de produit sanguin labile non érythrocytaire, chez le nouveau-né"
"FELF003";"Injection intraveineuse simultanée de deux des produits sanguins suivants : plasma frais congelé plaquettes facteur antihémophilique fibrinogène antithrombine III pour suppléance de coagulopathie par 24 heures"
"FELF004";"Transfusion de concentré globulaire à un débit supérieur à une demimasse sanguine chez l'adulte ou à 40ml/kg chez le nouveau-né en moins de 24 heures"
"FELF006";"Transfusion de produit sanguin labile non érythrocytaire"
"FELF007";"Transfusion de concentré de globules rouges de moins de 40ml/kg, chez le nouveau-né"
"FELF009";"Injection intraveineuse d'un produit de thérapie cellulaire pour allogreffe"
"FELF010";"Injection intraveineuse d'un produit de thérapie cellulaire pour autogreffe"
"FELF011";"Transfusion de concentré de globules rouges de moins d'une demimasse sanguine"
"FEQL007";"Mesure radio-isotopique du volume sanguin"
"FFFA001";"Splénectomie totale, par laparotomie"
"FFFC001";"Splénectomie totale, par coelioscopie"
"FGRB001";"Test allergologique par injection intradermique de plusieurs substances administrées à concentration croissante avec au moins 3 dilutions"
"FGRB002";"Test allergologique par injection intradermique d'une substance administrée à concentration croissante"
"FGRP003";"Test allergologique épicutané en chambre close [patch test] par batterie complémentaire et/ou tests orientés"
"FGRP005";"Test allergologique épicutané en chambre close [patch test] par batterie européenne standard, et batterie complémentaire et/ou tests orientés"
"FGRP007";"Test allergologique épicutané en chambre close [patch test] par batterie européenne standard"
"GABD002";"Tamponnement nasal antérieur"
"GAEA001";"Repositionnement de fragment de nez amputé sans anastomose vasculaire"
"GAFA002";"Exérèse subtotale ou totale [amputation] de la pointe et/ou de l'aile du nez"
"GAFA004";"Amputation de la pyramide nasale étendue au philtrum et/ou à la joue"
"GAFA005";"Exérèse transfixiante de lésion de la peau du nez et/ou de la muqueuse narinaire"
"GAFA007";"Exérèse non transfixiante de lésion de la peau du nez ou de la muqueuse narinaire"
"GAFA008";"Amputation de la pyramide nasale"
"GAFD002";"Polypectomie intranasale"
"GAGD002";"Ablation de corps étranger des fosses nasales"
"GAHA001";"Biopsie de la peau du nez et/ou de la muqueuse narinaire"
"GAJA001";"Évacuation de collection du septum nasal"
"GAJA002";"Parage et/ou suture de plaie du nez"
"GAMA001";"Rhinoseptoplastie sans ostéotomie, sans autogreffe de cartilage"
"GAMA002";"Réparation de perte de substance du nez par lambeau frontal à pédicule inférieur"
"GAMA003";"Rhinoplastie sans ostéotomie, avec autogreffe de cartilage de septum nasal"
"GAMA004";"Rhinoseptoplastie avec ostéotomie, sans autogreffe de cartilage"
"GAMA005";"Plastie ostéo-cutanéo-cartilagineuse pour sténose narinaire"
"GAMA007";"Septoplastie nasale"
"GAMA012";"Réparation de perte de substance du nez par lambeau régional"
"GAMA015";"Plastie narinaire pour collapsus de la valve nasale interne"
"GAMA018";"Réparation de perte de substance du nez par lambeau local"
"GAMA022";"Correction secondaire du résultat esthétique d'une rhinoplastie ou d'une rhinoseptoplastie"
"GAMA024";"Rhinoplastie avec ostéotomie, sans autogreffe de cartilage"
"GAME001";"Turbinoplastie ou turbinectomie inférieure ou moyenne unilatérale ou bilatérale, par endoscopie"
"GAND001";"Cautérisation unilatérale ou bilatérale de la muqueuse du cornet inférieur"
"GAQE001";"Endoscopie des fosses nasales et du cavum [rhinopharynx], par voie nasale"
"GAQE003";"Endoscopie des fosses nasales, par voie nasale"
"GBFE007";"Exérèse de lésion du sinus sphénoïdal, par endoscopie"
"GBGD001";"Déméchage ou nettoyage postopératoire de sinus paranasal, au bloc opératoire"
"GBJC001";"Évacuation de collection du sinus maxillaire, par voie méatale inférieure"
"GBJE001";"Évacuation de collection du sinus frontal, par endoscopie nasale"
"GBJE002";"Évacuation de collection du sinus sphénoïdal, par endoscopie directe ou transethmoïdale"
"GBPE001";"Méatotomie nasale moyenne, par endoscopie"
"GBPE002";"Marsupialisation de mucocèle du sinus ethmoïdal et/ou du sinus frontal, par endoscopie"
"GBQE001";"Sinusoscopie sphénoïdale"
"GBQM001";"Échographie unilatérale ou bilatérale du sinus maxillaire et/ou du sinus frontal"
"GCFD002";"Exérèse de lésion du rhinopharynx par voie nasale et/ou par voie buccale, avec laser"
"GCQE001";"Fibroscopie du pharynx et du larynx, par voie nasale"
"GDFA005";"Laryngectomie totale"
"GDFA008";"Laryngectomie supraglottique étendue à la base de langue"
"GDFA017";"Laryngopharyngectomie supraglottique"
"GDFE002";"Exérèse de lésion ou épluchage de la muqueuse du plan glottique, par laryngoscopie directe avec laser"
"GDMA001";"Laryngoplastie, par cervicotomie"
"GDQE001";"Laryngo-trachéo-bronchoscopie au tube rigide"
"GDQE004";"Fibroscopie du larynx et de la trachée"
"GDQE005";"Laryngoscopie directe [laryngoscopie en suspension]"
"GEFE002";"Séance de résection et/ou de dilatation de sténose de la trachée, par endoscopie sans laser"
"GEGE001";"Ablation de corps étranger intratrachéal ou intrabronchique, par bronchoscopie au tube rigide"
"GEGE003";"Ablation de corps étranger intratrachéal ou intrabronchique, par fibroscopie"
"GEHD001";"Prélèvement intrabronchique distal protégé sur sonde d'intubation ou sur trachéotomie, sans fibroscopie"
"GEHE001";"Biopsie trachéale et/ou bronchique, au cours d'une endoscopie des voies aériennes"
"GEJE001";"Aspiration intrabronchique à visée thérapeutique, par fibroscopie [Fibroaspiration bronchique]"
"GEJE003";"Aspiration intrabronchique à visée thérapeutique d'un patient intubé ou trachéotomisé, par fibroscopie"
"GEKE001";"Changement d'implant phonatoire oesotrachéal, par endoscopie"
"GELD001";"Instillation de surfactant exogène chez un nouveau-né en ventilation mécanique"
"GELD002";"Intubation trachéale en dehors d'un plateau technique"
"GELD003";"Intubation trachéale avec instillation de surfactant exogène"
"GELD004";"Intubation trachéale"
"GELE001";"Intubation trachéale par fibroscopie ou dispositif laryngé particulier, au cours d'une anesthésie générale"
"GELE002";"Instillation intrabronchique d'agent pharmacologique à visée thérapeutique, par bronchoscopie avec tube rigide"
"GELE004";"Intubation trachéale, par fibroscopie ou dispositif laryngé particulier"
"GELE005";"Instillation intrabronchique d'agent pharmacologique à visée thérapeutique, par fibroscopie"
"GELE008";"Pose d'une endoprothèse trachéobronchique, par endoscopie"
"GELF001";"Pose de cathéter laryngé ou de cathéter trachéal, par voie transcutanée"
"GELP001";"Nébulisation d'agent thérapeutique à destinée bronchique [aérosol] avec surveillance de la saturation en oxygène par mesure transcutanée [SpO2] et de la fréquence cardiaque, pendant au moins 2 heures"
"GEME001";"Création d'une fistule oesotrachéale avec pose d'implant phonatoire, par endoscopie"
"GENE002";"Destruction de lésion de l'arbre trachéobronchique par laser, par fibroscopie"
"GENE003";"Destruction tissulaire photodynamique de lésion de l'arbre trachéobronchique par laser, par fibroscopie"
"GENE004";"Destruction de lésion de l'arbre trachéobronchique par laser, par bronchoscopie au tube rigide"
"GEPA004";"Trachéotomie, par cervicotomie"
"GEQE002";"Fibroscopie bronchique, avec prélèvement lymphonodal transbronchique à l'aiguille"
"GEQE003";"Fibroscopie trachéobronchique avec photodétection de lésion par laser"
"GEQE004";"Fibroscopie bronchique, avec lavage alvéolaire à visée diagnostique"
"GEQE006";"Fibroscopie bronchique, avec biopsie pulmonaire par voie transbronchique sans guidage"
"GEQE007";"Fibroscopie bronchique"
"GEQE008";"Bronchoscopie au tube rigide"
"GEQE009";"Fibroscopie bronchique avec lavage alvéolaire à visée diagnostique, chez un patient intubé ou trachéotomisé"
"GEQE011";"Bronchoscopie au tube rigide, avec lavage alvéolaire à visée diagnostique"
"GEQE012";"Fibroscopie bronchique, chez un patient intubé ou trachéotomisé"
"GEQE013";"Examen panendoscopique des voies aérodigestives supérieures avec trachéoscopie et oesophagoscopie"
"GEQH002";"Fibroscopie bronchique, avec biopsie pulmonaire par voie transbronchique avec guidage radiologique"
"GESA002";"Fermeture de trachéotomie"
"GESA003";"Fermeture de fistule bronchique, par thoracotomie"
"GFEA001";"Transplantation séquentielle des deux poumons avec CEC, par thoracotomie"
"GFEA003";"Transplantation d'un poumon sans CEC, par thoracotomie"
"GFEA006";"Transplantation bipulmonaire, par thoracotomie"
"GFFA001";"Pneumonectomie avec exérèse totale de la plèvre [Pleuropneumonectomie], par thoracotomie"
"GFFA004";"Lobectomie pulmonaire avec résection-anastomose ou réimplantation de bronche, par thoracotomie"
"GFFA007";"Pneumonectomie avec résection d'organe ou de structure de voisinage, par thoracotomie"
"GFFA013";"Lobectomie pulmonaire, par thoracotomie"
"GFFA017";"Exérèse partielle non anatomique unique du poumon, par thoracotomie"
"GFFA021";"Exérèses partielles non anatomiques multiples du poumon, par thoracotomie"
"GFFA022";"Lobectomie pulmonaire avec résection d'organe ou de structure de voisinage, par thoracotomie"
"GFFA023";"Bilobectomie pulmonaire avec résection-anastomose ou réimplantation de bronche, par thoracotomie"
"GFFA024";"Pneumonectomie, par thoracotomie"
"GFFA029";"Segmentectomie pulmonaire unique ou multiple, par thoracotomie"
"GFFC002";"Exérèse partielle non anatomique du poumon, par thoracoscopie"
"GFFC005";"Résection de bulle pulmonaire avec abrasion ou exérèse de la plèvre pariétale, par thoracoscopie"
"GFFC006";"Résection de bulle pulmonaire, par thoracoscopie"
"GFQL006";"Scintigraphie pulmonaire de ventilation et de perfusion"
"GFQL007";"Scintigraphie pulmonaire de perfusion"
"GGBA001";"Interposition ou apposition de lambeau pleural ou péricardique, au cours d'une intervention intrathoracique"
"GGFA001";"Exérèse de tumeur de la plèvre, par thoracotomie vidéoassistée"
"GGHB001";"Ponction d'un épanchement pleural, sans guidage"
"GGHB002";"Biopsie de la plèvre, par voie transcutanée sans guidage"
"GGJA002";"Évacuation de collection de la cavité pleurale, par thoracotomie"
"GGJA003";"Décaillotage de la cavité pleurale, par thoracotomie"
"GGJB001";"Drainage d'un épanchement de la cavité pleurale, par voie transcutanée sans guidage"
"GGJB002";"Évacuation d'un épanchement de la cavité pleurale, par voie transcutanée sans guidage"
"GGJB005";"Pose de plusieurs drains thoraciques pour irrigation-lavage pleurale, par voie transcutanée"
"GGJC001";"Évacuation de collection septique de la cavité pleurale avec débridement, par thoracoscopie"
"GGJC002";"Évacuation d'un hémothorax, par thoracoscopie"
"GGJF001";"Séance d'irrigation-lavage pleurale"
"GGJF002";"Séance de lavage pleural par un dispositif implanté"
"GGLB002";"Injection intrapleurale d'agent pharmacologique, par voie transcutanée"
"GGLB006";"Pose d'un drain thoracique pour lavage pleural, par voie transcutanée"
"GGLC001";"Instillation intrapleurale de substance irritante, par thoracoscopie"
"GGNC001";"Abrasion ou exérèse de la plèvre pariétale, par thoracoscopie"
"GGPA001";"Décortication pleuropulmonaire, par thoracotomie"
"GGPA002";"Libération du poumon [Pneumolyse] pour symphyse pleurale"
"GHFA002";"Exérèse de tumeur du médiastin, par thoracotomie vidéoassistée"
"GHFA003";"Exérèse de tumeur du médiastin élargie à un ou plusieurs organes de voisinage, par thoracotomie"
"GHFA004";"Exérèse de tumeur du médiastin, par thoracotomie"
"GHJA001";"Évacuation de collection du médiastin, par cervicotomie"
"GHJA002";"Évacuation de collection du médiastin, par thoracotomie"
"GHQA001";"Exploration du médiastin, par cervicotomie"
"GHQC001";"Exploration du médiastin, par médiastinoscopie"
"GLHF001";"Prélèvement de sang artériel avec gazométrie sanguine et mesure du pH, sans épreuve d'hyperoxie"
"GLJF001";"Épuration extracorporelle du gaz carbonique [CO2] par voie veinoveineuse, par 24 heures"
"GLLB001";"Pose d'un dispositif de mesure de la saturation jugulaire en oxygène, par voie veineuse transcutanée"
"GLLD001";"Oxygénothérapie hyperbare avec utilisation de ventilation mécanique et d'agent pharmacologique vasoactif"
"GLLD002";"Ventilation mécanique discontinue au masque facial ou par embout buccal pour kinésithérapie, par 24 heures"
"GLLD003";"Ventilation spontanée au masque facial, par canule nasale ou par canule nasopharyngée, sans aide inspiratoire, avec pression expiratoire positive [PEP], par 24 heures"
"GLLD004";"Ventilation mécanique intratrachéale avec pression expiratoire positive [PEP] supérieure à 6 et/ou FiO2 supérieure à 60%, avec technique de décubitus ventral alterné par 24 heures"
"GLLD006";"Ventilation spontanée sur sonde d'intubation trachéale, par 24 heures"
"GLLD008";"Ventilation mécanique intratrachéale avec pression expiratoire positive [PEP] supérieure à 6 et/ou FiO2 supérieure à 60%, par 24 heures"
"GLLD009";"Ventilation par oscillations à haute fréquence, par 24 heures"
"GLLD011";"Ventilation à fréquence supérieure à 80 par minute [Ventilation à haute fréquence] [VHF], par 24 heures"
"GLLD012";"Ventilation mécanique continue au masque facial pour suppléance ventilatoire, par 24 heures"
"GLLD013";"Ventilation spontanée sur trachéotomie au cours d'un sevrage de ventilation mécanique, par 24 heures"
"GLLD015";"Ventilation mécanique intratrachéale avec pression expiratoire positive [PEP] inférieure ou égale à 6 et FiO2 inférieure ou égale à 60%, par 24 heures"
"GLLF001";"Ventilation manuelle d'un nouveau-né à la naissance, au masque facial, avec administration intraveineuse d'agent pharmacologique"
"GLLP001";"Oxygénothérapie avec surveillance continue de l'oxymétrie, en dehors de la ventilation mécanique, par 24 heures"
"GLLP002";"Ventilation manuelle d'un nouveau-né à la naissance, au masque facial"
"GLLP003";"Pose d'un masque facial de ventilation nasale"
"GLLP004";"Ventilation barométrique ou volumétrique non invasive au masque facial pendant au moins 2 heures cumulées au cours des 12 heures, pour insuffisance respiratoire aigüe"
"GLLP005";"Oxygénothérapie hyperbare sans utilisation de ventilation mécanique ni d'agent pharmacologique vasoactif"
"GLMF001";"Adaptation des réglages d'une ventilation non invasive par mesures répétées des gaz du sang"
"GLQF001";"Réglage du débit d'oxygène par mesures répétées des gaz du sang, pour instauration ou adaptation d'une oxygénothérapie de débit défini"
"GLQP005";"Enregistrement continu de la saturation en oxygène par mesure transcutanée [SpO2] [Oxymétrie de pouls], pendant au moins 6 heures"
"GLQP007";"Polygraphie respiratoire nocturne"
"GLQP013";"Mesure transcutanée de la tension partielle en oxygène [TcPO2] au repos"
"GLQP015";"Surveillance continue de la saturation jugulaire en oxygène par dispositif intraveineux, par 24 heures"
"HADA001";"Labioglossopexie"
"HAFA002";"Pelvi-glosso-mandibulectomie non interruptrice, par abord intrabuccal"
"HAFA006";"Pelviglossectomie de langue mobile, par abord intrabuccal"
"HAFA010";"Uvulectomie"
"HAFA015";"Exérèse d'une lésion de la muqueuse de la bouche ou de l'oropharynx de moins de 2 cm de grand axe, par abord intrabuccal"
"HAFA018";"Uvulovélectomie avec palatectomie partielle"
"HAFA020";"Exérèse transfixiante de lésion de la lèvre, ou exérèse d'une commissure labiale"
"HAFA023";"Glossectomie partielle de langue mobile, par abord intrabuccal"
"HAFA027";"Pelviglossectomie de langue mobile, par abord cervicofacial"
"HAFA029";"Glossectomie totale de langue mobile et de base de langue"
"HAFA032";"Exérèse d'une lésion de la muqueuse de la bouche ou de l'oropharynx de 2 cm à 4 cm de grand axe, par abord intrabuccal"
"HAHA001";"Biopsie de la cavité orale et/ou de l'oropharynx, sans coloration vitale"
"HAJA006";"Parage et/ou suture de plaie transfixiante de la lèvre"
"HAJD006";"Parage et/ou suture de plaie de la langue"
"HALD005";"Pose d'une prothèse intrabuccale pour perte de substance du palais dur et du palais mou"
"HAMA012";"Plastie cutanéomuqueuse de symétrisation labiale pour séquelle d'une fente labio-maxillo-palatine"
"HAMA026";"Pelviglossoplastie"
"HAMA028";"Correction de rétraction de lèvre par autoplastie locale"
"HAPD001";"Section de bride muqueuse ou de frein intrabuccal"
"HASA003";"Fermeture d'une fistule bucconasale séquellaire d'une fente orofaciale par plastie locorégionale ou lambeau de langue"
"HASA012";"Fermeture d'orostome ou de pharyngostome"
"HASA018";"Fermeture d'une communication buccosinusienne par lambeau de glissement vestibulojugal, par abord intrabuccal"
"HASA019";"Fermeture labiale primaire unilatérale d'une fente labio-alvéolo-maxillaire, sans correction complète de la déformation nasale [Cheïloplastie unilatérale pour fente labio-alvéolo-maxillaire]"
"HASD006";"Fermeture primaire d'une fente du palais osseux [Uranoplastie pour fente orofaciale]"
"HASD007";"Fermeture primaire d'une fente palatovélaire [Uranostaphylorraphie pour fente orofaciale]"
"HASD008";"Fermeture primaire d'une fente vélaire [Staphylorraphie pour fente orofaciale]"
"HBBD004";"Comblement [Scellement] prophylactique des puits, sillons et fissures sur 4 dents"
"HBED009";"Réduction de fracture alvéolaire en denture permanente"
"HBED016";"Réduction de luxation de plusieurs dents"
"HBFD010";"Exérèse amélodentinaire avec coiffage pulpaire de temporisation"
"HBGD008";"Avulsion de 3 à 5 dents sur arcade, en un temps"
"HBGD010";"Avulsion de 6 à 10 dents sur arcade, en un temps"
"HBGD019";"Curetage d'alvéole dentaire"
"HBGD021";"Avulsion de trois troisièmes molaires retenues ou à l'état de germe"
"HBGD024";"Curetage périapical avec résection de l'apex d'une racine dentaire endodontiquement traitée"
"HBGD025";"Avulsion de deux troisièmes molaires retenues ou à l'état de germe"
"HBGD029";"Avulsion de 15 à 20 dents sur arcade, en un temps"
"HBGD035";"Avulsion d'une dent temporaire sur arcade"
"HBGD036";"Avulsion d'une dent permanente sur arcade sans alvéolectomie"
"HBGD037";"Avulsion de deux dents temporaires sur arcade"
"HBGD038";"Avulsion de quatre troisièmes molaires retenues ou à l'état de germe"
"HBJD004";"Évacuation d'abcès parodontal"
"HBMD037";"Réparation de perte de substance cervicale et/ou cervicoradiculaire de 3 dents d’un secteur prémolomolaire par matériau inséré en phase plastique"
"HBQK002";"Radiographie panoramique dentomaxillaire"
"HCFA006";"Parotidectomie totale élargie au méat [conduit] auditif externe et/ou à la mandibule"
"HCFA008";"Parotidectomie partielle avec dissection et conservation du nerf facial"
"HCFA009";"Parotidectomie totale avec dissection et conservation du nerf facial"
"HCFA011";"Exérèse de glande submandibulaire [Submandibulectomie] [Sousmaxillectomie], par abord cervicofacial"
"HCFA013";"Parotidectomie totale par abord cervicofacial, avec exérèse du prolongement [processus] parapharyngien par abord pharyngé"
"HCHA002";"Biopsie des petites glandes salivaires [glandes salivaires mineure] [glandes salivaires accessoires]"
"HCHB001";"Ponction ou cytoponction de glande salivaire, par voie transcutanée"
"HCJA001";"Évacuation de collection salivaire, par abord direct"
"HCQH001";"Sialographie"
"HCQL001";"Scintigraphie des glandes salivaires"
"HCQM001";"Échographie transcutanée des glandes salivaires"
"HDFA005";"Pharyngolaryngectomie totale"
"HDFA015";"Résection de diverticule pharyngooesophagien avec myotomie extramuqueuse, par cervicotomie"
"HDGE002";"Extraction de corps étranger de l'oropharynx, par laryngoscopie indirecte"
"HDJD002";"Évacuation de collection péritonsillaire [périamygdalienne] et/ou rétropharyngienne, par voie buccale"
"HDMA007";"Vélopharyngoplastie ou pharyngoplastie avec lambeau pharyngé"
"HDQE001";"Oro-hypopharyngoscopie avec laryngoscopie directe"
"HEAE002";"Dilatation antérograde de l'oesophage, par endoscopie rigide"
"HEAE003";"Dilatation antérograde de l'oesophage, par fibroscopie"
"HEAH001";"Dilatation de l'oesophage, avec guidage radiologique"
"HECA001";"Suture de plaie ou de perforation de l'oesophage, par cervicotomie"
"HECA002";"Suture de plaie ou de perforation de l'oesophage, par thoracotomie"
"HEFA001";"oesophagectomie avec oesophagogastroplastie, par thoracophrénotomie gauche"
"HEFA002";"oesophagectomie avec oesophagogastroplastie, par cervicotomie, thoracotomie et laparotomie"
"HEFA004";"oesophagectomie totale avec oesophagogastroplastie, par cervicotomie et laparotomie"
"HEFA007";"oesophagectomie avec oesophagocoloplastie, par cervicotomie, thoracotomie et laparotomie"
"HEFA012";"oesophagectomie avec oesophagogastroplastie, par thoracotomie et laparotomie"
"HEFE001";"Exérèse d'un polype de plus de 1cm de diamètre ou de plus de 3 polypes de l'oesophage, de l'estomac et/ou du duodénum, par oeso-gastro-duodénoscopie"
"HEFE002";"Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l'oesophage, de l'estomac et/ou du duodénum, par oeso-gastro-duodénoscopie"
"HEFE003";"Séance de mucosectomie de l'oesophage, de l'estomac ou du duodénum, par oeso-gastro-duodénoscopie"
"HEGE001";"Extraction de corps étranger de l'oesophage, par endoscopie rigide"
"HEGE002";"Extraction de corps étranger de l'oesophage, de l'estomac et/ou du duodénum, par oeso-gastro-duodénoscopie"
"HEGE003";"Ablation d'une endoprothèse de l'oesophage, par endoscopie"
"HELE002";"Pose d'une endoprothèse de l'oesophage, par endoscopie"
"HELE003";"Séance d'injection de toxine botulique au niveau du sphincter inférieur de l'oesophage, par endoscopie"
"HELH001";"Pose d'une endoprothèse de l'oesophage, avec guidage radiologique"
